index,project_num,SR_name,from,to,scope,miles,muni,adt,sr,name,muni1,muni2,muni3,fsegment,foffset,tsegment,toffset,GISID,	STATE_ROUTE,	LOC_ROAD_NAME_RMS,	ADMINSELECTED,	CALENDAR_YEAR,	municipality1,  municipality2,  municipality3,	segment_from_to,fseg,tseg,status
16,14.0,SR 2027 THOMSON AV,Baltimore Pk / SR 2016,Sproul Rd / SR 0320,"Mill & 1 1/2"" Overlay",0.80,SPRINGFIELD,"6,848",2027,THOMSON AV,SPRINGFIELD,,,0010,0000,0030,1004,2127.0,2027,THOMSON AV,Y,2023.0,SPRINGFIELD,,,0010_0030,0010,0030,"Reviewed, not pursued"
17,15.0,SR 2041 VICTORY AV,W. Chester Pk / SR 0003,Cobbs Creek Br.,"Mill & 1 1/2"" Overlay",0.29,UPPER DARBY,"11,165",2041,VICTORY AV,UPPER DARBY,,,0010,0000,0010,1531,2128.0,2041,VICTORY AV,Y,2023.0,UPPER DARBY,,,0010_0010,0010,0010,"Reviewed, not pursued"
18,16.0,SR 3005 FlOWER ST / EDWARDS ST,Seventh St,End of the Road,"Mill & 1 1/2"" Overlay",0.42,CHESTER CITY,"4,130",3005,FlOWER ST / EDWARDS ST,CHESTER CITY,,,0014,0000,0020,1489,,,,,,,,,,,,
19,17.0,SR 3006 RIDGE RD,0015/0000 Del. State Line,0041/2025 Baker St,"Mill & 1 1/2"" Overlay",1.61 1.55,TRAINER LOWER CHICHESTER CHESTER CITY,"8,176 5,990",3006,RIDGE RD,TRAINER LOWER CHICHESTER CHESTER CITY,,,0010,0000,0040,2025,2131.0,3006,RIDGE RD,Y,2023.0,TRAINER,LOWER CHICHESTER,LOWER CHICHESTER,0010_0040,0010,0040,"Reviewed, not pursued"
20,18.0,SR 3007 CONCORD RD,Bethel Rd / SR 3010,Baltimore Pk / SR 0001,"Mill & 1 1/2"" Overlay",8.24,CONCORD CHESTER BETHEL,"15,496",3007,CONCORD RD,CONCORD CHESTER BETHEL,,,0020,0000,0130,3637,2313.0,3007,CONCORD RD,Y,2022.0,CONCORD,CHESTER,BETHEL,0020_0130,0020,0130,"Reviewed, not pursued"
21,19.0,SR 3020 DUTTON MILL RD,Pennell Rd / SR 0452,Edgemont Ave / SR 0352,"Mill & 1 1/2"" Overlay",2.44,MIDDLETOWN ASTON,"12,032",3020,DUTTON MILL RD,MIDDLETOWN ASTON,,,0010,0000,0060,2062,,,,,,,,,,,,
22,20.0,SR 3024 WALLINGFORD AV,Manchester Ave / SR 3019,Providence Rd / SR 0252,"Mill & 1 1/2"" Overlay",0.71,NETHER PROVIDENCE,"1,566",3024,WALLINGFORD AV,NETHER PROVIDENCE,,,0010,0000,0010,3747,,,,,,,,,,,,
25,21.0,SR 3033 ENGLE ST,Ninth St / SR 0013,Concord Rd / SR 3007,"Mill & 1 1/2"" Overlay",0.53,CHESTER CITY CHESTER,"6,742 3,373",3033,ENGLE ST,CHESTER CITY CHESTER,,,0010,0000,0010,2807,2314.0,3033,ENGLE ST,Y,2023.0,CHESTER CITY,CHESTER,,0010_0010,0010,0010,"Reviewed, not pursued"
26,22.0,SR 3034 BODLEY RD,Valley Brook Rd / SR 3029,Birney Hwy / SR 3023,"Mill & 1 1/2"" Overlay",0.64,ASTON,"2,040",3034,BODLEY RD,ASTON,,,0010,0000,0010,3385,2171.0,3034,BODLEY RD,Y,2023.0,ASTON,,,0010_0010,0010,0010,"Reviewed, not pursued"
27,23.0,SR 3035 HIGHLAND AV,0011/0000 Fifteenth St,0011/1598 Bethel Rd / SR 3010,"Mill & 1 1/2"" Overlay",0.29 0.30,CHESTER CITY,"5,172 4,472",3035,HIGHLAND AV,CHESTER CITY,,,0010,0000,0010,1511,2316.0,3035,HIGHLAND AV,Y,2023.0,CHESTER CITY,,,0010_0010,0010,0010,"Reviewed, not pursued"
28,24.0,SR 4010 SPRINGLAWN RD,Cheyney Rd / SR 4015,Glen Mills Rd / SR 4016,"Mill & 1 1/2"" Overlay",1.38,THORNBURY,366,4010,SPRINGLAWN RD,THORNBURY,,,0010,0000,0020,2168,485.0,4010,COLLEGEVILLE RD,Y,2019.0,SKIPPACK,,,0010_0020,0010,0020,"Reviewed, not pursued"
29,25.0,SR 4015 CHEYNEY RD,Baltimore Pk / SR 0001,Creek Rd / SR 4012,"Mill & 1 1/2"" Overlay",3.07,THORNBURY CONCORD,"6,399",4015,CHEYNEY RD,THORNBURY CONCORD,,,0030,0000,0090,1094,2310.0,4015,CHEYNEY RD,Y,2023.0,THORNBURY,CONCORD,,0030_0090,0030,0090,"Reviewed, not pursued"
30,26.0,SR 4017 THORNTON RD,Glen Mills Rd / SR 4016,Cheyney Rd / SR 4015,"Mill & 1 1/2"" Overlay",0.88,THORNBURY,"1,205",4017,THORNTON RD,THORNBURY,,,0010,0873,0020,3390,,,,,,,,,,,,
31,27.0,SR 4019 THORNTON RD,Concord Rd / SR 3007,Glen Mills Rd / SR 4016,"Mill & 1 1/2"" Overlay",1.70,THORNBURY CONCORD,"2,545",4019,THORNTON RD,THORNBURY CONCORD,,,0010,0000,0030,2354,,,,,,,,,,,,
35,28.0,SR 6291 GOVERNOR PRINTZ,Bartram Ave / SR 0291,Phila. Co. Line,"Mill & 1 1/2"" Overlay",0.46,TINICUM,"12,391 4,159",6291,GOVERNOR PRINTZ,TINICUM,,,0011,0000,0011,2441,364.0,6291,GOVERNOR PRINTZ,Y,2023.0,TINICUM,,,0011_0011,0011,0011,"Reviewed, not pursued"
32,28.0,SR 6291 GOVERNOR PRINTZ,0011/0000 Bartram Ave / SR 0291,0011/2441 Phila. Co. Line,"Mill & 1 1/2"" Overlay",0.47 0.46,TINICUM,"12,391 4,159",6291,GOVERNOR PRINTZ,TINICUM,,,0010,0000,0010,2465,363.0,6291,GOVERNOR PRINTZ,Y,2023.0,TINICUM,,,0010_0010,0010,0010,"Reviewed, not pursued"
