project_num,SR_name,from,to,scope,miles,muni,adt,sr,name,muni1,muni2,muni3,fsegment,foffset,tsegment,toffset
1,SR 0013 SECOND ST,Penn St.,Chester Creek Bridge,"Mill, Leveling & 1 1/2"" Overlay",0.04,CHESTER CITY,"8,205 10,367",13,SECOND ST,CHESTER CITY,,,92,1721,92,1956
1,SR 0013 SECOND ST,Penn St.,Chester Creek Bridge,"Mill, Leveling & 1 1/2"" Overlay",0.04,CHESTER CITY,"8,205 10,367",13,SECOND ST,CHESTER CITY,,,103,396,103,631
2,SR 0202 WILMINGTON PK,Delaware State Line,Baltimore Pk / SR 0001,"Mill & 1 1/2"" Overlay",2.99,CONCORD CHADDS FORD BETHEL,"23,635 24,325",202,WILMINGTON PK,CONCORD CHADDS FORD BETHEL,,,10,0,80,3216
2,SR 0202 WILMINGTON PK,Delaware State Line,Baltimore Pk / SR 0001,"Mill & 1 1/2"" Overlay",2.99,CONCORD CHADDS FORD BETHEL,"23,635 24,325",202,WILMINGTON PK,CONCORD CHADDS FORD BETHEL,,,11,0,81,3190
3,SR 0352 EDGMONT AV,Ninth St / SR 0013,Ridge Blvd.,"Mill & 1 1/2"" Overlay",2.23,PARKSIDE BROOKHAVEN CHESTER CITY,"14,258",352,EDGMONT AV,PARKSIDE BROOKHAVEN CHESTER CITY,,,10,0,40,2430
3,SR 0352 EDGMONT AV,Ninth St / SR 0013,Ridge Blvd.,"Mill & 1 1/2"" Overlay",0.46,PARKSIDE BROOKHAVEN CHESTER CITY,"14,258",352,EDGMONT AV,PARKSIDE BROOKHAVEN CHESTER CITY,,,41,0,41,2447
4,SR 1014 HAVERFORD RD,Winchester Rd / Karakung Rd / SR 1001,County Line Rd,"Mill & 1 1/2"" Overlay",0.38,HAVERFORD,"9,204",1014,HAVERFORD RD,HAVERFORD,,,10,0,10,2008
5,SR 1016 LAWRENCE RD,W. Chester Pk / SR 0003,Eagle Rd / SR 1005,"Mill & 1 1/2"" Overlay",1.1,HAVERFORD,"12,092",1016,LAWRENCE RD,HAVERFORD,,,10,0,20,2951
6,SR 1024 CEDAR GROVE RD,Newtown St Rd / SR 0252,Sproul Rd / SR 0320,"Mill & 1 1/2"" Overlay",2.07,MARPLE TOWNSHIP,"3,187",1024,CEDAR GROVE RD,MARPLE TOWNSHIP,,,10,0,40,3300
7,SR 1030 MEDIA LINE RD,Newtown St Rd / SR 0252,W. Chester Pk / SR 0003,"Mill & 1 1/2"" Overlay",1.59,MARPLE TOWNSHIP,"5,599",1030,MEDIA LINE RD,MARPLE TOWNSHIP,,,10,0,40,804
