project_num,sr,name,gisids,status
1,2009,Springfield Rd,,Not Evaluated
2,2013,Clifton Ave,,Not Evaluated
3,2016,Baltimore Pk,,Not Evaluated
5,2031,Sellers Ave,,Not Evaluated
6,2037,Crum Creek Rd,,Not Evaluated
7,3010,Bethel Ave/Concord Rd,,Not Evaluated
8,3013,Chestnut St,,Not Evaluated
9,3014,Mill Rd,,Not Evaluated
10,3016,Larkin Rd,,Not Evaluated
11,4005,Darlington Rd,,Not Evaluated
