project_num,sr,name,gisids,status
7.0,2037,Old Lincoln Hwy,,Not Evaluated
8.0,2045,Old Lincoln Hwy,,Not Evaluated
9.0,2050,Lincoln Hwy,,Not Evaluated
10.0,2051,Levittown Pkwy,,Not Evaluated
11.0,4077,Apple Rd,,Not Evaluated
12.0,4083,Limeport Rd,,Not Evaluated
13.0,4093,Creamery Rd,,Not Evaluated
14.0,4202,Butler Ave,,Not Evaluated
