GISID,"	SOURCE","	ADMINSELECTED","	CALENDAR_YEAR","	STATE_ROUTE","	LOC_ROAD_NAME_RMS","	INTERSECTION_FROM","	segment_from_to","	municipality1",  municipality2,  municipality3," 	DVRPC Regional Priority","	County Priority","	Public Priority","	DVRPC Feasible","	Send to PennDOT","	PennDOT Feasibly", Capacity Analysis Needed,"	Prioritized for Outreach", confirm municipal interest,"	Date of initial contact with muni","	Date letter was received","	Striping plan complete","	Date of completion","	Before/After Counts", For Initial Screening,"	For DVRPC to Screen for Feasiblity","	Pending Review", For PennDOT to Screen for Feasibility, Outreach Prioritization,"	To begin municipal outreach","	Waiting for municipal letter","	Municipal letter received/Needs striping plan","	Approved striping plan shared with maintenance staff","	Completed Projects", Pending Capacity Analysis,"	Beyond scope of resurfacing", Admin Selected, 
613,5-year plan 2019-2023,N,2018,4013,LINCOLN DR,W Cliveden St / SR 4013,0050_0070,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
614,5-year plan 2019-2023,N,2018,4019,WASHINGTON LN,Germantown Ave / SR 4005,0010_0060,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
615,5-year plan 2019-2023,N,2019,73,COTTMAN AV,Montgomery Co. Line,0010_0110,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
616,5-year plan 2019-2023,N,2019,73,COTTMAN AV,Montgomery Co. Line,0011_0111,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
617,5-year plan 2019-2023,N,2019,532,BUSTLETON AV,Roosevelt Blvd. / SR 1001,0010_0090,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
618,5-year plan 2019-2023,N,2019,532,BUSTLETON AV,Roosevelt Blvd. / SR 1001,0021_0091,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
619,5-year plan 2019-2023,N,2019,611,BROAD ST,Indiana Ave,0090_0190,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
620,5-year plan 2019-2023,N,2019,611,BROAD ST,Indiana Ave,0091_0181,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
621,5-year plan 2019-2023,N,2019,1002,ADAMS AV,Rising Sun Ave / SR 1001,0060_0080,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
622,5-year plan 2019-2023,N,2019,1002,ADAMS AV,Rising Sun Ave / SR 1001,0061_0081,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
623,5-year plan 2019-2023,N,2019,1004,TORRESDALE AV,Kensington Ave,0080_0220,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
624,5-year plan 2019-2023,N,2019,1008,LEVICK ST,State Rd / SR 0073,0010_0070,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
625,5-year plan 2019-2023,N,2019,1008,LEVICK ST,State Rd / SR 0073,0041_0051,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
626,5-year plan 2019-2023,N,2019,1009,BRIDGE ST,Richmond St / SR 2001,0010_0050,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
627,5-year plan 2019-2023,N,2019,1009,BRIDGE ST,Richmond St / SR 2001,0015_0015,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
628,5-year plan 2019-2023,N,2019,1012,COTTMAN AV,Cottman Ave / State Rd / SR 0073,0011_0011,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
629,5-year plan 2019-2023,N,2019,1016,LINDEN AV,Academy Rd / SR 1013,0060_0070,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
630,5-year plan 2019-2023,N,2019,2001,DELAWARE AV,Delaware Ave,0110_0130,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
631,5-year plan 2019-2023,N,2019,2001,DELAWARE AV,Delaware Ave,0111_0131,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
632,5-year plan 2019-2023,N,2019,2001,CHRISTOPHER COL,Spring Garden St / SR 2006,0050_0100,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
633,5-year plan 2019-2023,N,2019,2001,CHRISTOPHER COL,Spring Garden St / SR 2006,0051_0101,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
634,5-year plan 2019-2023,N,2019,2005,SIXTH ST,Walnut St / SR 3006,0053_0071,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
635,5-year plan 2019-2023,N,2019,3007,BENJAMIN FRANKL,15th Street / SR 3029,0030_0050,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
636,5-year plan 2019-2023,N,2019,3007,BENJAMIN FRANKL,15th Street / SR 3029,0031_0051,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
637,5-year plan 2022-2026,N,2026,3025,LINDBERGH BL,63rd St / SR 3004,0010_0020,PHILADELPHIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2087,5-year plan 2020-2024,Y,2021,4031,RIDGE PK,Second Ave / SR 0029,0100_0230,TRAPPE,COLLEGEVILLE,UPPER  PROVIDENCE,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,12/14/2020,9-Mar-21,N/A,,N/A,0,0,0,0,0,0,0,1,0,0,0,0,0,
2089,5-year plan 2022-2026,N,2023,4031,HIGH ST,Keim St,0381_0421,POTTSTOWN,WEST POTTSGROVE,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2088,5-year plan 2022-2026,Y,2023,4031,HIGH ST,Keim St,0340_0420,POTTSTOWN,WEST POTTSGROVE,,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,12/14/2020,16-Mar-21,N/A,,N/A,0,0,0,0,0,0,0,1,0,0,0,0,0,
2090,5-year plan 2020-2024,Y,2022,23,SCHUYLKILL RIVE,Schuylkill Py / SR 3021,0210_0280,WEST  CONSHOHOCKEN,BRIDGEPORT,UPPER MERION,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2091,5-year plan 2022-2026,Y,2022,2037,PENNSYLVANIA AV,Ramp A Rd / SR 8031,0013_0013,WHITEMARSH,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2092,5-year plan 2022-2026,Y,2022,2060,NEW SECOND ST,Cheltenham Ave / SR 1002,0010_0030,CHELTENHAM,,,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2112,5-year plan 2022-2026,Y,2024,3008,TOWNSHIP LINE R,Market St / SR 0452,0010_0040,TRAINER,CHESTER CITY,UPPER CHICHESTER,No,No,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2113,5-year plan 2022-2026,Y,2023,113,KIMBERTON RD,Conestoga Pk / SR 0401,0130_0270,PHOENIXVILLE,WEST PIKELAND,EAST PIKELAND,No,No,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
