GISID,"	SOURCE","	ADMINSELECTED","	CALENDAR_YEAR","	STATE_ROUTE","	LOC_ROAD_NAME_RMS","	INTERSECTION_FROM","	segment_from_to","	municipality1",  municipality2,  municipality3," 	DVRPC Regional Priority","	County Priority","	Public Priority","	DVRPC Feasible","	Send to PennDOT","	PennDOT Feasibly", Capacity Analysis Needed,"	Prioritized for Outreach", confirm municipal interest,"	Date of initial contact with muni","	Date letter was received","	Striping plan complete","	Date of completion","	Before/After Counts", For Initial Screening,"	For DVRPC to Screen for Feasiblity","	Pending Review", For PennDOT to Screen for Feasibility, Outreach Prioritization,"	To begin municipal outreach","	Waiting for municipal letter","	Municipal letter received/Needs striping plan","	Approved striping plan shared with maintenance staff","	Completed Projects", Pending Capacity Analysis,"	Beyond scope of resurfacing", Admin Selected, 
2258,5-year plan 2022-2026,N,2024,213,MAPLE AV,Pine St / SR 0413,0121_0151,MIDDLETOWN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2259,5-year plan 2022-2026,N,2023,332,NEWTOWN BP,Newtown BP / SR 0413,0193_0213,NEWTOWN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2150,5-year plan 2022-2026,Y,2026,2059,BORDENTOWN RD,Bristol Pk / SR 0013,0020_0080,TULLYTOWN,FALLS,,No,Yes,Yes,Yes,No,N/A,N/A,No,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2184,5-year plan 2022-2026,Y,2024,2023,SAXER AV,Baltimore Pk / SR 2016,0010_0030,SPRINGFIELD,,,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,9/20/2021,,N/A,,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,
2185,5-year plan 2020-2024,Y,2023,352,MIDDLETOWN RD,398' N of Van Leer Ave / SR 4013,0140_0220,THORNBURY,MIDDLETOWN,EDGMONT,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2186,5-year plan 2022-2026,Y,2026,1001,HAVERFORD RD,Manoa Rd / SR 1002,0010_0080,LOWER MERION,HAVERFORD,,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2187,5-year plan 2022-2026,N,2026,1001,HAVERFORD RD,Manoa Rd / SR 1002,0031_0081,RADNOR,HAVERFORD,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2188,5-year plan 2022-2026,Y,2026,1014,HAVERFORD RD,Karakung Rd / SR 1001,0010_0010,HAVERFORD,,,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2189,5-year plan 2022-2026,Y,2023,1030,MEDIA LINE RD,Newtown St / SR 0252,0010_0040,MARPLE TOWNSHIP,,,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2190,5-year plan 2022-2026,Y,2024,2024,MARSHALL RD,Burmont Ave / SR 2007,0010_0060,LANSDOWNE,UPPER DARBY,,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,
2151,5-year plan 2022-2026,Y,2024,2107,FALLSINGTON TUL,Bristol Pk / SR 0013,0010_0040,TULLYTOWN,FALLS,,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A, ,,N/A,,N/A,0,0,0,0,0,1,0,0,0,0,0,0,0,
2152,5-year plan 2022-2026,Y,2024,4027,MAIN ST,Broad St / SR 4049 / SR 4051,0170_0180,TRUMBAUERSVILLE,,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2153,5-year plan 2022-2026,Y,2024,4043,THATCHER RD,Doylestown Pk / SR 0313,0070_0110,RICHLAND,HAYCOCK,,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2154,5-year plan 2020-2024,Y,2023,4079,PULLEN STATION,Richlandtown Pk / SR 4047,0010_0040,SPRINGFIELD,RICHLAND,HAYCOCK,No,No,No,No,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2155,5-year plan 2020-2024,Y,2023,4087,MAIN ST,Walnut St / SR 0152,0010_0010,PERKASIE,,,No,No,Yes,Yes,No,N/A,N/A,No,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2156,5-year plan 2022-2026,N,2025,113,MAIN ST,Lawndale Ave,0070_0090,SILVERDALE,HILLTOWN,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2157,5-year plan 2022-2026,N,2025,213,BRIDGETOWN PK,Buck Rd / SR 0532,0010_0040,LOWER SOUTHAMPTON,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2158,5-year plan 2022-2026,N,2025,263,YORK RD,Sugar Bottom Rd,0130_0200,DOYLESTOWN,BUCKINGHAM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2159,5-year plan 2022-2026,N,2025,263,YORK RD,Sugar Bottom Rd,0131_0191,DOYLESTOWN,BUCKINGHAM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2160,5-year plan 2022-2026,N,2025,309,BETHLEHEM PK,Hilltown Pk / SR 4011,0010_0030,HILLTOWN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2161,5-year plan 2022-2026,N,2025,309,BETHLEHEM PK,Hilltown Pk / SR 4011,0011_0031,HILLTOWN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2162,5-year plan 2022-2026,N,2025,532,BUCK RD,Rocksville Rd,0080_0154,NORTHAMPTON,NEWTOWN,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2163,5-year plan 2022-2026,N,2025,532,BUCK RD,Rocksville Rd,0155_0155,NEWTOWN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2164,5-year plan 2020-2024,N,2024,663,JOHN FRIES HW,436' S of Spinnerstown Rd / SR 4057,0051_0061,MILFORD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2165,5-year plan 2020-2024,Y,2021,322,CONCHESTER HW,Baltimore Pk / SR 0001,0130_0130,UPPER CHICHESTER,UPPER CHICHESTER,,No,No,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2166,5-year plan 2020-2024,N,2021,322,CONCHESTER HW,Baltimore Pk / SR 0001,0131_0131,UPPER CHICHESTER,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2167,5-year plan 2020-2024,Y,2021,1032,BRYN MAWR AV,West Chester Pk / SR 0003,0010_0040,NEWTOWN,RADNOR,,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2168,5-year plan 2020-2024,Y,2021,1046,ST DAVIDS RD,Ramp Rd / SR 8035 / SR 0252,0010_0040,NEWTOWN,RADNOR,,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2169,5-year plan 2022-2026,Y,2025,2002,SECOND ST,Industrial Hwy / SR 0291,0010_0040,TINICUM,,,No,No,Yes,Yes,Yes,Yes,N/A,Yes,N/A,10/26/2021,,N/A,,N/A,0,0,0,0,0,1,0,0,0,0,0,0,0,
2170,5-year plan 2020-2024,Y,2021,313,SWAMP RD,Bedminster Rd / Souderton Rd / SR 0113,0222_0262,DUBLIN,HILLTOWN,,No,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2171,5-year plan 2022-2026,Y,2023,3034,BODLEY RD,Valley Brook Rd / SR 3029,0010_0010,ASTON,,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2172,5-year plan 2022-2026,Y,2026,2011,CALCON HOOK RD,Hook Rd / SR 2015,0010_0020,SHARON HILL BOROU,DARBY,,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2173,5-year plan 2022-2026,Y,2022,2013,CLIFTON AV,Hook Rd / SR 2015,0010_0060,SHARON HILL BOROU,COLLINGDALE,ALDAN,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2174,5-year plan 2020-2024,N,2021,2015,HOOK RD,Philadelphia Co. Line,0010_0030,FOLCROFT,DARBY,COLLINGDALE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2175,5-year plan 2020-2024,Y,2021,2015,HOOK RD,Philadelphia Co. Line,0011_0031,FOLCROFT,DARBY,,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2176,5-year plan 2022-2026,Y,2022,2031,SELLERS AV,Fairmount Rd,0034_0040,RIDLEY PARK,RIDLEY,,Yes,No,Yes,Yes,Yes,Yes,N/A,No,N/A,7/15/2020,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2177,5-year plan 2022-2026,Y,2026,2033,STEWART AV,Industrial Hwy / SR 0291,0010_0020,RIDLEY PARK,RIDLEY,,No,No,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2178,5-year plan 2022-2026,N,2026,2033,STEWART AV,Industrial Hwy / SR 0291,0011_0021,RIDLEY PARK,RIDLEY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2179,5-year plan 2020-2024,Y,2021,3006,NINTH ST,Baker St,0050_0070,TRAINER,CHESTER CITY,,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,1/4/2021, ,N/A, ,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2180,5-year plan 2020-2024,N,2021,3006,NINTH ST,Baker St,0051_0061,TRAINER,CHESTER CITY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2181,5-year plan 2022-2026,Y,2022,3013,CHESTNUT ST,Providence Ave / SR 0320,0010_0030,CHESTER CITY,NETHER PROVIDENCE,,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2182,5-year plan 2022-2026,Y,2022,3014,MILL RD,Naamans Creek Rd / SR 0491,0010_0010,UPPER CHICHESTER,,,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2183,5-year plan 2022-2026,Y,2022,3016,LARKIN RD,Naamans Creek Rd / SR 0491,0010_0060,UPPER CHICHESTER,,,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2131,5-year plan 2022-2026,Y,2023,3006,RIDGE RD,Delaware State Line,0010_0040,TRAINER,LOWER CHICHESTER,LOWER CHICHESTER,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2132,5-year plan 2022-2026,N,2023,3006,RIDGE RD,Delaware State Line,0015_0041,LOWER CHICHESTER,CHESTER CITY,LOWER CHICHESTER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2133,5-year plan 2022-2026,Y,2022,3010,BETHEL ST,Ramp B Road / SR 0322,0010_0030,CHESTER CITY,CHESTER,UPPER CHICHESTER,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2134,5-year plan 2022-2026,Y,2022,1015,KINSEY RD,Old Forty Ft Rd / SR 1006,0010_0050,TOWAMENCIN,LOWER SALFORD,,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2135,5-year plan 2022-2026,Y,2023,4202,BUTLER AV,996' S of Burpee Rd,0121_0121,DOYLESTOWN,,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2136,5-year plan 2022-2026,Y,2025,263,YORK RD,Park Dr.,0090_0120,WARWICK,BUCKINGHAM,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,11/16/2021,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2137,5-year plan 2022-2026,N,2025,263,YORK RD,Park Dr.,0091_0121,WARWICK,DOYLESTOWN,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2138,5-year plan 2022-2026,Y,2023,2034,PINEVILLE RD,Windy Bush Rd / SR 0232,0010_0040,WRIGHTSTOWN,UPPER MAKEFIELD,,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2191,5-year plan 2022-2026,Y,2024,2024,MARSHALL RD,Burmont Ave / SR 2007,0031_0061,LANSDOWNE,UPPER DARBY,,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2192,5-year plan 2022-2026,N,2025,13,CHESTER PK,Morton Ave / SR 2028 / Ninth St,0130_0210,RIDLEY PARK,PROSPECT PARK,NORWOOD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2193,5-year plan 2022-2026,N,2025,13,CHESTER PK,Morton Ave / SR 2028 / Ninth St,0141_0211,RIDLEY PARK,PROSPECT PARK,NORWOOD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2194,5-year plan 2020-2024,Y,2024,2025,BRISTOL RD,Branch of Mill Creek / Bridge,0052_0114,WARWICK,WARRINGTON,WARMINSTER,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2195,5-year plan 2022-2026,N,2026,2048,STATE ST,92' S of Lincoln Ave,0020_0030,NEWTOWN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2197,5-year plan 2022-2026,N,2025,2036,TYSON AV,Edgehill Rd / SR 2034,0021_0021,ABINGTON,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2198,5-year plan 2022-2026,N,2025,1001,ALLENTOWN RD,Harleysville Pk / SR 0113,0170_0230,SALFORD,FRANCONIA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2199,5-year plan 2022-2026,Y,2023,3011,BARREN HILL RD,Ridge Pk,0010_0040,WHITEMARSH,,,No,No,Yes,No,No,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2200,5-year plan 2022-2026,N,2025,3029,HENDERSON RD,South Gulph Rd / SR 3039,0010_0024,UPPER MERION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2201,5-year plan 2022-2026,N,2022,3019,SPRING MILL RD,Burnt Mill Rd / SR 3038,0010_0020,KENNETT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2202,5-year plan 2022-2026,N,2025,3029,HENDERSON RD,South Gulph Rd / SR 3039,0025_0025,UPPER MERION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2203,5-year plan 2022-2026,N,2025,3052,ROCKHILL RD,Conshohocken State Rd / SR 0023,0010_0010,LOWER MERION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2204,5-year plan 2022-2026,N,2022,3061,QUARRY RD,Valley Creek Rd,0131_0131,EAST CALN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2205,5-year plan 2022-2026,Y,2025,3064,EMBREEVILLE RD,Lincoln Hwy / SR 3070,0010_0050,COATESVILLE,WEST BRADFORD,CALN,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2206,5-year plan 2022-2026,Y,2026,401,CONESTOGA RD,Kimberton Rd / SR 0113,0240_0310,WEST VINCENT,WEST PIKELAND,UPPER UWCHLAN,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2207,5-year plan 2022-2026,Y,2023,3103,NORTH CREEK RD,London Britain Twp. Line,0030_0040,FRANKLIN,,,No,No,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2208,5-year plan 2020-2024,Y,2023,4001,OLD WILMINGTON,Valley Rd / SR 0372,0010_0094,WEST CALN,SADSBURY,,No,No,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2209,5-year plan 2022-2026,Y,2023,4003,WAGONTOWN RD,Manor Rd,0010_0020,VALLEY,,,No,No,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2210,5-year plan 2022-2026,Y,2023,4005,CALN RD,Fisherville Rd / SR 4022,0160_0170,CALN,,,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2211,5-year plan 2022-2026,Y,2023,4043,ST PETERS RD,Scool Rd / SR 4041,0010_0070,WARWICK,NORTH COVENTRY,,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2212,5-year plan 2022-2026,Y,2023,29,MOREHALL RD,Lancaster Ave / SR 0030,0010_0070,EAST WHITELAND,CHARLESTOWN,,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2213,5-year plan 2022-2026,N,2023,29,MOREHALL RD,Lancaster Ave / SR 0030,0011_0071,EAST WHITELAND,CHARLESTOWN,,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2215,5-year plan 2022-2026,N,2025,1030,BIRCH RUN RD,Pottstown Pk / SR 0100,0010_0070,WEST VINCENT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2216,5-year plan 2022-2026,N,2025,3007,FLOURTOWN RD,Stenton Ave / SR 3003,0010_0070,WHITEMARSH,PLYMOUTH,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2217,5-year plan 2022-2026,N,2025,3018,ALAN WOOD RD,Brook Rd / 3815' S of Ridge Pk,0020_0020,PLYMOUTH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2218,5-year plan 2020-2024,Y,2024,3020,MARKLEY ST,Con Rail crossing overpass,0050_0080,NORRISTOWN,,,Yes,No,Yes,Yes,No,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2221,5-year plan 2022-2026,N,2023,3036,SWEDESFORD RD,Guthrie Rd / SR 3033,0005_0005,UPPER MERION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2224,5-year plan 2022-2026,Y,2024,4025,SANATOGA RD,Limerick Center Rd / SR 4024,0010_0030,LIMERICK,LOWER POTTSGROVE,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2250,5-year plan 2022-2026,Y,2023,413,NEWTOWN LANGHOR,357' N og Gilliam Ave,0220_0310,LANGHORNE,NEWTOWN,MIDDLETOWN,No,Yes,Yes,Yes,Yes,No,N/A,Yes,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2251,5-year plan 2022-2026,N,2023,413,NEWTOWN BP,357' N og Gilliam Ave,0271_0311,NEWTOWN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2252,5-year plan 2020-2024,Y,2022,1003,AQUETONG RD,River Rd / SR 0032,0010_0070,SOLEBURY,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,11/15/2021,11/18/2021,N/A, ,N/A,0,0,0,0,0,0,0,1,0,0,0,0,0,
2254,5-year plan 2022-2026,Y,2023,2022,LINCOLN HW,Stony Hill Rd / SR 2069,0011_0041,FALLS,,,Yes,No,Yes,Yes,No,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2278,5-year plan 2022-2026,Y,2022,2028,CAMP HILL RD,Skippack Pk / SR 0073,0010_0020,WHITEMARSH,SPRINGFIELD,,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2279,5-year plan 2022-2026,Y,2022,2029,OLD WELSH RD,Edgehill Rd / SR 2034 / Old Welsh Rd / SR 0063,0010_0040,ABINGTON,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1/7/2022,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2280,5-year plan 2022-2026,Y,2022,2031,KNAPP RD,SR 0202 Pky,0010_0010,MONTGOMERY,,,No,No,Yes,Yes,Yes,Yes,N/A,Yes,Yes,11/12/2021,1/12/2022,N/A, ,N/A,0,0,0,0,0,0,0,1,0,0,0,0,0,
2281,5-year plan 2022-2026,N,2022,2031,KNAPP RD,SR 0202 Pky,0011_0011,MONTGOMERY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2282,5-year plan 2022-2026,N,2022,2037,PENNSYLVANIA AV,Ramp A Rd / SR 8031,0012_0012,WHITEMARSH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2283,5-year plan 2022-2026,Y,2023,4026,EVERGREEN RD,Lightcap Rd,0020_0030,LIMERICK,,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2284,5-year plan 2022-2026,N,2023,4026,EVERGREEN RD,Lightcap Rd,0021_0025,LIMERICK,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2285,5-year plan 2022-2026,Y,2022,4036,ARMAND HAMMER B,Industrial Hwy,0010_0020,POTTSTOWN,LOWER POTTSGROVE,,No,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2225,5-year plan 2020-2024,Y,2021,23,VALLEY FORGE RD,Valley Forge Cr / Moore Rd,0090_0200,BRIDGEPORT,UPPER MERION,,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2226,5-year plan 2020-2024,Y,2021,29,PHOENIXVILLE CO,Ramp D Rd / SR 8007 (SR 0422 WB to SR 0029),0070_0120,COLLEGEVILLE,UPPER  PROVIDENCE,,Yes,Yes,Yes,Yes,No,No,N/A,No,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2227,5-year plan 2020-2024,Y,2021,4011,HILLTOWN PK,Bethlehem Pk / SR 0309,0010_0050,NEW BRITAIN,HILLTOWN,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2228,5-year plan 2020-2024,Y,2021,4027,MAIN ST,Bethlehem Pk / SR 4085,0010_0040,TELFORD,WEST ROCKHILL,HILLTOWN,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,1/12/2021,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2229,5-year plan 2020-2024,Y,2021,4029,CAT HILL RD,County Line Rd / SR 4027,0010_0040,SELLERSVILLE,WEST ROCKHILL,,No,No,Yes,No,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
